Queries,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
Query1,3,30.0,-0.5393939393939393
Query2,0,0.0,-0.4545454545454545
Query3,0,0.0,-0.3696969696969697
Query4,4,40.0,-0.41818181818181815
Query5,4,40.0,-0.01818181818181818
Query6,3,30.0,-0.4666666666666666
Query7,1,10.0,0.22424242424242422
Query8,0,0.0,-0.23636363636363633
Query9,3,30.0,0.10303030303030303
Query10,2,20.0,0.006060606060606061
Query11,1,10.0,-0.9272727272727272
Query12,2,20.0,0.2606060606060606
Query13,5,50.0,-0.43030303030303024
Query14,1,10.0,-0.5636363636363636
Query15,3,30.0,0.18787878787878787
Query16,3,30.0,0.32121212121212117
Query17,1,10.0,0.3939393939393939
Query18,0,0.0,0.5272727272727272
Query19,1,10.0,0.2121212121212121
Query20,2,20.0,0.29696969696969694
Query21,0,0.0,-0.6484848484848483
Query22,2,20.0,-0.1515151515151515
Query23,6,60.0,-0.01818181818181818
Query24,1,10.0,0.38181818181818183
Query25,1,10.0,-0.05454545454545454
Query26,3,30.0,0.4666666666666666
Query27,2,20.0,0.16363636363636364
Query28,1,10.0,0.12727272727272726
Query29,0,0.0,0.309090909090909
Query30,1,10.0,-0.01818181818181818
Query31,3,30.0,0.23636363636363633
Query32,2,20.0,0.32121212121212117
Query33,2,20.0,-0.35757575757575755
Query34,3,30.0,0.35757575757575755
Query35,3,30.0,0.34545454545454546
Query36,2,20.0,-0.35757575757575755
Query37,4,40.0,-0.2121212121212121
Query38,3,30.0,-0.2727272727272727
Query39,3,30.0,0.22424242424242422
Query40,2,20.0,0.04242424242424241
Query41,1,10.0,0.5878787878787878
Query42,1,10.0,0.33333333333333326
Query43,0,0.0,-0.3939393939393939
Query44,2,20.0,-0.22424242424242422
Query45,4,40.0,0.06666666666666665
Query46,3,30.0,-0.17575757575757575
Query47,2,20.0,0.41818181818181815
Query48,0,0.0,0.5878787878787878
Query49,1,10.0,0.7212121212121211
Query50,3,30.0,-0.07878787878787878
Query51,2,20.0,-0.43030303030303024
Query52,4,40.0,0.38181818181818183
Query53,2,20.0,-0.05454545454545454
Query54,2,20.0,-0.01818181818181818
Query55,1,10.0,-0.07878787878787878
Query56,2,20.0,0.5636363636363636
Query57,3,30.0,0.309090909090909
Query58,1,10.0,0.49090909090909085
Query59,3,30.0,0.2121212121212121
Query60,0,0.0,-0.12727272727272726
Query61,3,30.0,0.23636363636363633
Query62,5,50.0,0.8424242424242423
Query63,2,20.0,0.7575757575757575
Query64,0,0.0,-0.10303030303030303
Query65,0,0.0,-0.0303030303030303
Query66,0,0.0,-0.13939393939393938
Query67,1,10.0,-0.22424242424242422
Query68,4,40.0,0.1515151515151515
Query69,0,0.0,-0.18787878787878787
Query70,2,20.0,-0.22424242424242422
Query71,4,40.0,0.23636363636363633
Query72,1,10.0,-0.7212121212121211
Query73,2,20.0,0.4666666666666666
Query74,3,30.0,0.19999999999999998
Query75,3,30.0,-0.006060606060606061
Query76,2,20.0,-0.18787878787878787
Query77,0,0.0,-0.5515151515151515
Query78,2,20.0,-0.309090909090909
Query79,1,10.0,0.12727272727272726
Query80,4,40.0,-0.5878787878787878
Query81,0,0.0,-0.17575757575757575
Query82,1,10.0,-0.309090909090909
Query83,6,60.0,-0.17575757575757575
Query84,0,0.0,-0.28484848484848485
Query85,3,30.0,0.1515151515151515
Query86,2,20.0,0.709090909090909
Query87,0,0.0,-0.5757575757575757
Query88,3,30.0,0.1515151515151515
Query89,5,50.0,0.11515151515151514
Query90,4,40.0,0.3939393939393939
Query91,0,0.0,-0.3696969696969697
Query92,4,40.0,0.3696969696969697
Query93,0,0.0,-0.07878787878787878
Query94,4,40.0,0.28484848484848485
Query95,0,0.0,-0.3939393939393939
Query96,1,10.0,0.2727272727272727
Query97,1,10.0,0.05454545454545454
Query98,1,10.0,0.33333333333333326
Query99,3,30.0,-0.11515151515151514
Query100,4,40.0,-0.5757575757575757
Averages,2.01,20.1,0.01612121212121212
